,Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status,Race/Ethnicity_index,Sex_index,Department_index,Regular/Temporary_index,Employee Status_index
1919,White,F,Seattle Public Utilities,38,57,R,A,0.0,1.0,3.0,0.0,0.0
1920,White,F,Seattle Public Utilities,58,51,R,A,0.0,1.0,3.0,0.0,0.0
1921,White,M,Finance & Admin Services,37,34,R,A,0.0,0.0,10.0,0.0,0.0
1922,White,M,Finance & Admin Services,54,40,R,A,0.0,0.0,10.0,0.0,0.0
1923,White,F,Education & Early Learning,36,56,R,A,0.0,1.0,15.0,0.0,0.0
1924,White,F,Seattle Center,52,36,T,A,0.0,1.0,9.0,1.0,0.0
1925,White,F,Fire Department,28,38,R,A,0.0,1.0,5.0,0.0,0.0
1926,White,F,Seattle Dept of Transportation,32,62,R,A,0.0,1.0,4.0,0.0,0.0
1927,White,F,Seattle Center,64,29,R,A,0.0,1.0,9.0,0.0,0.0
1928,White,M,Seattle Public Utilities,62,57,R,A,0.0,0.0,3.0,0.0,0.0
1929,White,F,Human Services Department,37,48,R,A,0.0,1.0,7.0,0.0,0.0
1930,White,F,Seattle Dept of Transportation,30,51,R,A,0.0,1.0,4.0,0.0,0.0
1931,White,F,Parks & Recreation,43,18,T,A,0.0,1.0,0.0,1.0,0.0
1932,White,M,Construction & Inspections,65,78,R,A,0.0,0.0,11.0,0.0,0.0
1933,White,M,Fire Department,43,50,R,A,0.0,0.0,5.0,0.0,0.0
1934,White,M,Seattle Public Utilities,57,18,R,A,0.0,0.0,3.0,0.0,0.0
1935,White,F,Parks & Recreation,47,31,R,A,0.0,1.0,0.0,0.0,0.0
1936,White,M,Fire Department,53,50,R,A,0.0,0.0,5.0,0.0,0.0
1937,White,M,Police Department,50,60,R,A,0.0,0.0,2.0,0.0,0.0
1938,White,F,Parks & Recreation,60,20,R,A,0.0,1.0,0.0,0.0,0.0
1939,White,F,Seattle Center,50,51,R,A,0.0,1.0,9.0,0.0,0.0
1940,White,M,Office of Labor Standards,43,47,R,A,0.0,0.0,28.0,0.0,0.0
1941,White,M,Construction & Inspections,40,40,R,A,0.0,0.0,11.0,0.0,0.0
1942,White,M,Parks & Recreation,75,29,T,A,0.0,0.0,0.0,1.0,0.0
1943,White,M,Seattle Center,49,25,T,A,0.0,0.0,9.0,1.0,0.0
1944,White,F,Seattle Center,31,36,T,A,0.0,1.0,9.0,1.0,0.0
1945,White,M,Seattle City Light,35,61,R,A,0.0,0.0,1.0,0.0,0.0
1946,White,M,Construction & Inspections,60,54,R,A,0.0,0.0,11.0,0.0,0.0
1947,White,M,Finance & Admin Services,59,44,R,A,0.0,0.0,10.0,0.0,0.0
1948,White,F,Seattle City Light,28,23,R,A,0.0,1.0,1.0,0.0,0.0
1949,White,M,Fire Department,31,39,R,A,0.0,0.0,5.0,0.0,0.0
1950,White,M,Seattle Center,38,18,T,A,0.0,0.0,9.0,1.0,0.0
1951,White,F,Parks & Recreation,27,18,T,A,0.0,1.0,0.0,1.0,0.0
1952,White,M,Police Department,46,40,R,A,0.0,0.0,2.0,0.0,0.0
1953,White,F,Police Department,61,49,R,A,0.0,1.0,2.0,0.0,0.0
1954,White,M,Human Services Department,27,31,R,A,0.0,0.0,7.0,0.0,0.0
1955,White,F,Parks & Recreation,30,19,T,A,0.0,1.0,0.0,1.0,0.0
1956,White,M,Police Department,34,53,R,A,0.0,0.0,2.0,0.0,0.0
1957,White,M,Fire Department,31,43,R,A,0.0,0.0,5.0,0.0,0.0
1958,White,M,Fire Department,40,46,R,A,0.0,0.0,5.0,0.0,0.0
1959,White,F,Seattle City Light,37,38,T,A,0.0,1.0,1.0,1.0,0.0
1960,White,M,Construction & Inspections,39,51,R,A,0.0,0.0,11.0,0.0,0.0
1961,White,M,Seattle Center,51,36,T,A,0.0,0.0,9.0,1.0,0.0
1962,White,M,Seattle Public Utilities,27,34,R,A,0.0,0.0,3.0,0.0,0.0
1963,White,M,Police Department,42,69,R,A,0.0,0.0,2.0,0.0,0.0
1964,White,F,Seattle Center,67,18,T,A,0.0,1.0,9.0,1.0,0.0
1965,White,M,Seattle Public Utilities,39,38,R,A,0.0,0.0,3.0,0.0,0.0
1966,White,M,Fire Department,39,46,R,A,0.0,0.0,5.0,0.0,0.0
1967,White,F,Seattle Public Utilities,41,46,R,A,0.0,1.0,3.0,0.0,0.0
1968,White,M,Planning & Comm Development,58,64,R,A,0.0,0.0,21.0,0.0,0.0
1969,White,F,Parks & Recreation,48,18,T,A,0.0,1.0,0.0,1.0,0.0
1970,White,M,Seattle Public Utilities,47,57,R,A,0.0,0.0,3.0,0.0,0.0
1971,White,M,Police Department,38,55,R,A,0.0,0.0,2.0,0.0,0.0
1972,White,M,Seattle Dept of Transportation,32,57,R,L,0.0,0.0,4.0,0.0,1.0
1973,White,F,Seattle City Light,51,61,R,A,0.0,1.0,1.0,0.0,0.0
1974,White,M,Seattle City Light,40,52,R,A,0.0,0.0,1.0,0.0,0.0
1975,White,F,Seattle Center,80,18,T,A,0.0,1.0,9.0,1.0,0.0
1976,White,F,Human Services Department,29,33,R,A,0.0,1.0,7.0,0.0,0.0
1977,White,F,Seattle Center,45,18,T,A,0.0,1.0,9.0,1.0,0.0
1978,White,F,Municipal Court,55,47,R,A,0.0,1.0,12.0,0.0,0.0
1979,White,M,Fire Department,33,43,R,A,0.0,0.0,5.0,0.0,0.0
1980,White,F,Seattle City Light,34,61,R,A,0.0,1.0,1.0,0.0,0.0
1981,White,M,Seattle Dept of Transportation,53,70,R,A,0.0,0.0,4.0,0.0,0.0
1982,White,M,Seattle City Light,35,69,R,A,0.0,0.0,1.0,0.0,0.0
1983,White,M,Seattle City Light,47,65,R,A,0.0,0.0,1.0,0.0,0.0
1984,White,M,Fire Department,50,47,R,A,0.0,0.0,5.0,0.0,0.0
1985,White,M,Police Department,25,45,R,A,0.0,0.0,2.0,0.0,0.0
1986,White,M,Police Department,34,54,R,L,0.0,0.0,2.0,0.0,1.0
1987,White,M,Police Department,31,47,R,A,0.0,0.0,2.0,0.0,0.0
1988,White,M,Parks & Recreation,61,19,T,A,0.0,0.0,0.0,1.0,0.0
1989,White,F,Parks & Recreation,19,19,T,A,0.0,1.0,0.0,1.0,0.0
1990,White,F,Sustainability & Environment,32,46,R,A,0.0,1.0,26.0,0.0,0.0
1991,White,M,Seattle Public Utilities,25,34,T,A,0.0,0.0,3.0,1.0,0.0
1992,White,M,Fire Department,30,43,R,A,0.0,0.0,5.0,0.0,0.0
1993,White,F,Parks & Recreation,52,53,T,A,0.0,1.0,0.0,1.0,0.0
1994,White,M,Police Department,29,47,R,A,0.0,0.0,2.0,0.0,0.0
1995,White,M,Seattle Center,34,41,R,A,0.0,0.0,9.0,0.0,0.0
1996,White,M,Seattle Dept of Transportation,42,60,R,A,0.0,0.0,4.0,0.0,0.0
1997,White,F,Seattle Dept of Transportation,51,66,R,A,0.0,1.0,4.0,0.0,0.0
1998,White,M,Seattle Public Utilities,42,33,R,A,0.0,0.0,3.0,0.0,0.0
1999,White,F,Seattle Public Utilities,66,57,R,A,0.0,1.0,3.0,0.0,0.0
2000,White,F,Parks & Recreation,64,31,R,A,0.0,1.0,0.0,0.0,0.0
2001,White,M,Seattle Public Utilities,66,40,R,A,0.0,0.0,3.0,0.0,0.0
2002,White,M,Parks & Recreation,40,23,T,A,0.0,0.0,0.0,1.0,0.0
2003,White,F,Municipal Court,51,35,R,A,0.0,1.0,12.0,0.0,0.0
2004,White,M,Fire Department,38,43,R,A,0.0,0.0,5.0,0.0,0.0
2005,White,F,Seattle City Light,43,70,R,A,0.0,1.0,1.0,0.0,0.0
2006,White,M,Finance & Admin Services,61,41,R,A,0.0,0.0,10.0,0.0,0.0
2007,White,M,Parks & Recreation,58,21,R,A,0.0,0.0,0.0,0.0,0.0
2008,White,M,Fire Department,37,43,R,A,0.0,0.0,5.0,0.0,0.0
2009,White,M,Information Technology,38,57,R,A,0.0,0.0,8.0,0.0,0.0
2010,White,M,Municipal Court,47,62,R,A,0.0,0.0,12.0,0.0,0.0
2011,White,F,Seattle Public Utilities,46,55,R,A,0.0,1.0,3.0,0.0,0.0
2012,White,M,Fire Department,32,46,R,A,0.0,0.0,5.0,0.0,0.0
2013,White,M,Mayor's Office,73,83,R,A,0.0,0.0,24.0,0.0,0.0
2014,White,F,Seattle City Light,61,27,R,A,0.0,1.0,1.0,0.0,0.0
2015,White,M,Seattle City Light,33,66,R,A,0.0,0.0,1.0,0.0,0.0
2016,White,F,Police Department,32,47,R,A,0.0,1.0,2.0,0.0,0.0
2017,White,M,Seattle Dept of Transportation,36,43,R,A,0.0,0.0,4.0,0.0,0.0
2018,White,M,Construction & Inspections,35,62,R,A,0.0,0.0,11.0,0.0,0.0
2019,White,M,Seattle City Light,31,54,R,A,0.0,0.0,1.0,0.0,0.0
2020,White,F,Parks & Recreation,51,19,R,A,0.0,1.0,0.0,0.0,0.0
2021,White,M,Fire Department,34,45,R,A,0.0,0.0,5.0,0.0,0.0
2022,White,F,Neighborhoods,34,53,R,A,0.0,1.0,18.0,0.0,0.0
2023,White,M,Police Department,50,59,R,A,0.0,0.0,2.0,0.0,0.0
2024,White,M,Construction & Inspections,50,52,R,A,0.0,0.0,11.0,0.0,0.0
2025,White,F,Seattle Dept of Transportation,51,29,T,A,0.0,1.0,4.0,1.0,0.0
2026,White,M,Seattle Dept of Transportation,59,38,R,A,0.0,0.0,4.0,0.0,0.0
2027,White,M,Finance & Admin Services,63,38,R,A,0.0,0.0,10.0,0.0,0.0
2028,White,F,Police Department,49,68,R,A,0.0,1.0,2.0,0.0,0.0
2029,White,M,Seattle City Light,52,69,R,A,0.0,0.0,1.0,0.0,0.0
2030,White,M,Fire Department,53,51,R,A,0.0,0.0,5.0,0.0,0.0
2031,White,F,City Budget Office,35,98,R,A,0.0,1.0,23.0,0.0,0.0
2032,White,M,Commnty Sfty and Comm Ctr Dept,28,34,R,A,0.0,0.0,14.0,0.0,0.0
2033,White,F,Parks & Recreation,62,18,T,A,0.0,1.0,0.0,1.0,0.0
2034,White,F,Seattle City Light,51,34,R,A,0.0,1.0,1.0,0.0,0.0
2035,White,M,Police Department,54,68,R,A,0.0,0.0,2.0,0.0,0.0
2036,White,M,Police Department,44,87,R,A,0.0,0.0,2.0,0.0,0.0
2037,White,M,Human Services Department,33,51,R,A,0.0,0.0,7.0,0.0,0.0
2038,White,M,Seattle Public Utilities,48,63,R,A,0.0,0.0,3.0,0.0,0.0
2039,White,F,Seattle City Light,65,59,R,A,0.0,1.0,1.0,0.0,0.0
2040,White,F,Seattle Dept of Transportation,41,31,R,A,0.0,1.0,4.0,0.0,0.0
2041,White,M,Information Technology,50,61,R,A,0.0,0.0,8.0,0.0,0.0
2042,White,M,Seattle Public Utilities,66,67,R,A,0.0,0.0,3.0,0.0,0.0
2043,White,M,Office of Inspector General,44,36,R,A,0.0,0.0,29.0,0.0,0.0
2044,White,M,Legislative Department,36,65,R,A,0.0,0.0,17.0,0.0,0.0
2045,White,F,Seattle Public Utilities,37,55,R,A,0.0,1.0,3.0,0.0,0.0
2046,White,F,Seattle Center,72,18,T,A,0.0,1.0,9.0,1.0,0.0
2047,White,M,Fire Department,57,52,R,A,0.0,0.0,5.0,0.0,0.0
2048,White,M,Information Technology,47,66,R,A,0.0,0.0,8.0,0.0,0.0
2049,White,M,Information Technology,54,74,R,A,0.0,0.0,8.0,0.0,0.0
2050,White,F,Seattle Public Library,65,46,R,A,0.0,1.0,6.0,0.0,0.0
2051,White,M,Seattle City Light,34,61,R,A,0.0,0.0,1.0,0.0,0.0
2052,White,M,Construction & Inspections,31,48,R,A,0.0,0.0,11.0,0.0,0.0
2053,White,F,Construction & Inspections,33,66,R,A,0.0,1.0,11.0,0.0,0.0
2054,White,F,Seattle City Light,57,69,R,A,0.0,1.0,1.0,0.0,0.0
2055,White,F,Parks & Recreation,47,43,R,A,0.0,1.0,0.0,0.0,0.0
2056,White,M,Seattle Dept of Transportation,34,62,R,A,0.0,0.0,4.0,0.0,0.0
2057,White,F,Neighborhoods,57,40,R,A,0.0,1.0,18.0,0.0,0.0
2058,White,M,City Budget Office,28,56,R,A,0.0,0.0,23.0,0.0,0.0
2059,White,F,Seattle Public Utilities,46,30,T,A,0.0,1.0,3.0,1.0,0.0
2060,White,F,Seattle Public Utilities,41,55,R,A,0.0,1.0,3.0,0.0,0.0
2061,White,M,Seattle City Light,52,69,R,A,0.0,0.0,1.0,0.0,0.0
2062,White,M,Seattle City Light,60,61,R,A,0.0,0.0,1.0,0.0,0.0
2063,White,M,Police Department,43,60,R,A,0.0,0.0,2.0,0.0,0.0
2064,White,M,Finance & Admin Services,53,53,R,A,0.0,0.0,10.0,0.0,0.0
2065,White,F,Fire Department,53,34,R,A,0.0,1.0,5.0,0.0,0.0
2066,White,M,Seattle City Light,22,19,T,A,0.0,0.0,1.0,1.0,0.0
2067,White,M,Parks & Recreation,42,43,T,A,0.0,0.0,0.0,1.0,0.0
2068,White,M,Parks & Recreation,17,18,T,A,0.0,0.0,0.0,1.0,0.0
2069,White,M,Information Technology,49,64,R,A,0.0,0.0,8.0,0.0,0.0
2070,White,M,Seattle Center,68,36,T,A,0.0,0.0,9.0,1.0,0.0
2071,White,F,Arts & Culture,54,40,R,A,0.0,1.0,22.0,0.0,0.0
2072,White,M,Fire Department,33,41,R,A,0.0,0.0,5.0,0.0,0.0
2073,White,M,Seattle Public Utilities,60,37,T,A,0.0,0.0,3.0,1.0,0.0
2074,White,M,Parks & Recreation,42,61,R,A,0.0,0.0,0.0,0.0,0.0
2075,White,F,Information Technology,60,62,R,A,0.0,1.0,8.0,0.0,0.0
2076,White,M,Seattle Center,63,36,T,A,0.0,0.0,9.0,1.0,0.0
2077,White,F,Parks & Recreation,54,73,R,A,0.0,1.0,0.0,0.0,0.0
2078,White,M,Police Department,48,60,R,A,0.0,0.0,2.0,0.0,0.0
2079,White,F,Seattle City Light,55,65,R,A,0.0,1.0,1.0,0.0,0.0
2080,White,M,Information Technology,51,58,R,A,0.0,0.0,8.0,0.0,0.0
2081,White,M,Parks & Recreation,19,19,T,A,0.0,0.0,0.0,1.0,0.0
2082,White,F,Parks & Recreation,20,19,T,A,0.0,1.0,0.0,1.0,0.0
2083,White,F,Parks & Recreation,52,20,T,A,0.0,1.0,0.0,1.0,0.0
2084,White,M,Parks & Recreation,56,35,R,A,0.0,0.0,0.0,0.0,0.0
2085,White,M,Police Department,25,42,R,A,0.0,0.0,2.0,0.0,0.0
2086,White,M,Information Technology,56,64,R,A,0.0,0.0,8.0,0.0,0.0
2087,White,M,Parks & Recreation,63,32,R,A,0.0,0.0,0.0,0.0,0.0
2088,White,M,Police Department,44,70,R,A,0.0,0.0,2.0,0.0,0.0
2089,White,M,Seattle Center,53,35,R,A,0.0,0.0,9.0,0.0,0.0
2090,White,M,Fire Department,52,51,R,A,0.0,0.0,5.0,0.0,0.0
2091,White,F,Police Department,49,60,R,A,0.0,1.0,2.0,0.0,0.0
2092,White,F,Fire Department,37,34,R,A,0.0,1.0,5.0,0.0,0.0
2093,White,F,Seattle Public Utilities,47,51,R,A,0.0,1.0,3.0,0.0,0.0
2094,White,F,Seattle Public Utilities,37,33,R,A,0.0,1.0,3.0,0.0,0.0
2095,White,M,Finance & Admin Services,38,55,R,A,0.0,0.0,10.0,0.0,0.0
2096,White,M,Parks & Recreation,19,18,T,A,0.0,0.0,0.0,1.0,0.0
2097,White,M,Parks & Recreation,32,17,T,A,0.0,0.0,0.0,1.0,0.0
2098,White,M,Construction & Inspections,41,49,R,A,0.0,0.0,11.0,0.0,0.0
2099,White,M,Seattle Public Utilities,30,34,T,A,0.0,0.0,3.0,1.0,0.0
2100,White,M,Police Department,46,42,R,A,0.0,0.0,2.0,0.0,0.0
2101,White,M,Police Department,28,53,R,A,0.0,0.0,2.0,0.0,0.0
2102,White,M,Parks & Recreation,33,19,T,A,0.0,0.0,0.0,1.0,0.0
2103,White,M,Parks & Recreation,31,32,T,A,0.0,0.0,0.0,1.0,0.0
2104,White,M,Parks & Recreation,20,19,T,A,0.0,0.0,0.0,1.0,0.0
2105,White,F,Parks & Recreation,16,21,T,A,0.0,1.0,0.0,1.0,0.0
2106,White,F,Law Department,33,38,R,A,0.0,1.0,13.0,0.0,0.0
2107,White,M,Parks & Recreation,51,19,R,A,0.0,0.0,0.0,0.0,0.0
2108,White,F,Seattle Public Utilities,26,34,T,A,0.0,1.0,3.0,1.0,0.0
2109,White,M,Fire Department,53,47,R,A,0.0,0.0,5.0,0.0,0.0
2110,White,M,Seattle Public Library,60,35,R,A,0.0,0.0,6.0,0.0,0.0
2111,White,F,Parks & Recreation,47,31,R,A,0.0,1.0,0.0,0.0,0.0
2112,White,F,Finance & Admin Services,53,51,R,A,0.0,1.0,10.0,0.0,0.0
2113,White,M,Seattle City Light,40,61,R,A,0.0,0.0,1.0,0.0,0.0
2114,White,F,Information Technology,62,54,R,A,0.0,1.0,8.0,0.0,0.0
2115,White,F,Seattle Public Utilities,59,38,R,A,0.0,1.0,3.0,0.0,0.0
2116,White,M,Police Department,38,32,R,A,0.0,0.0,2.0,0.0,0.0
2117,White,F,Seattle Dept of Transportation,38,31,R,A,0.0,1.0,4.0,0.0,0.0
2118,White,M,Fire Department,37,38,R,A,0.0,0.0,5.0,0.0,0.0
2119,White,F,Intergovernment Relations,29,64,R,A,0.0,1.0,35.0,0.0,0.0
2120,White,M,Parks & Recreation,19,19,R,A,0.0,0.0,0.0,0.0,0.0
2121,White,M,Seattle City Light,35,61,R,A,0.0,0.0,1.0,0.0,0.0
2122,White,M,Construction & Inspections,55,59,R,A,0.0,0.0,11.0,0.0,0.0
2123,White,F,Police Department,51,55,R,A,0.0,1.0,2.0,0.0,0.0
2124,White,F,Legislative Department,49,45,R,A,0.0,1.0,17.0,0.0,0.0
2125,White,M,Seattle City Light,47,77,R,A,0.0,0.0,1.0,0.0,0.0
2126,White,M,Fire Department,28,38,R,A,0.0,0.0,5.0,0.0,0.0
2127,White,M,Parks & Recreation,68,18,T,A,0.0,0.0,0.0,1.0,0.0
2128,White,F,Police Department,37,31,R,A,0.0,1.0,2.0,0.0,0.0
2129,White,M,Parks & Recreation,43,30,R,A,0.0,0.0,0.0,0.0,0.0
2130,White,M,Seattle Public Utilities,60,70,R,A,0.0,0.0,3.0,0.0,0.0
2131,White,M,Seattle City Light,62,54,R,A,0.0,0.0,1.0,0.0,0.0
2132,White,F,City Budget Office,36,55,R,A,0.0,1.0,23.0,0.0,0.0
2133,White,M,Seattle City Light,37,66,R,A,0.0,0.0,1.0,0.0,0.0
2134,White,M,Parks & Recreation,16,19,T,A,0.0,0.0,0.0,1.0,0.0
2135,White,M,Finance & Admin Services,26,38,R,A,0.0,0.0,10.0,0.0,0.0
2136,White,F,Seattle Public Utilities,65,54,R,A,0.0,1.0,3.0,0.0,0.0
2137,White,F,Seattle City Light,65,58,R,A,0.0,1.0,1.0,0.0,0.0
2138,White,M,Parks & Recreation,63,27,R,A,0.0,0.0,0.0,0.0,0.0
2139,White,M,Seattle Center,60,44,R,A,0.0,0.0,9.0,0.0,0.0
2140,White,M,Fire Department,43,45,R,A,0.0,0.0,5.0,0.0,0.0
2141,White,F,Seattle Center,65,18,T,A,0.0,1.0,9.0,1.0,0.0
2142,White,M,Information Technology,35,41,R,A,0.0,0.0,8.0,0.0,0.0
2143,White,M,Seattle Center,66,36,T,A,0.0,0.0,9.0,1.0,0.0
2144,White,M,Police Department,49,68,R,A,0.0,0.0,2.0,0.0,0.0
2145,White,M,Seattle City Light,61,46,R,A,0.0,0.0,1.0,0.0,0.0
2146,White,F,Seattle City Light,69,61,R,A,0.0,1.0,1.0,0.0,0.0
2147,White,F,Seattle Public Library,30,38,R,A,0.0,1.0,6.0,0.0,0.0
2148,White,M,Information Technology,47,65,R,A,0.0,0.0,8.0,0.0,0.0
2149,White,F,Seattle Public Library,43,22,R,A,0.0,1.0,6.0,0.0,0.0
2150,White,F,Seattle Public Library,47,28,R,A,0.0,1.0,6.0,0.0,0.0
2151,White,M,Information Technology,53,61,R,A,0.0,0.0,8.0,0.0,0.0
2152,White,M,Seattle Public Utilities,45,41,R,A,0.0,0.0,3.0,0.0,0.0
2153,White,F,Seattle City Light,59,93,R,A,0.0,1.0,1.0,0.0,0.0
2154,White,F,Police Department,44,40,R,A,0.0,1.0,2.0,0.0,0.0
2155,White,M,Seattle City Light,37,54,R,A,0.0,0.0,1.0,0.0,0.0
2156,White,M,Seattle Dept of Transportation,31,44,R,A,0.0,0.0,4.0,0.0,0.0
2157,White,F,Seattle Center,39,61,R,A,0.0,1.0,9.0,0.0,0.0
2158,White,F,Police Department,48,33,R,A,0.0,1.0,2.0,0.0,0.0
2159,White,M,Finance & Admin Services,44,44,R,A,0.0,0.0,10.0,0.0,0.0
2160,White,F,Finance & Admin Services,63,63,R,A,0.0,1.0,10.0,0.0,0.0
2161,White,M,Fire Department,31,51,R,A,0.0,0.0,5.0,0.0,0.0
2162,White,M,Seattle Public Utilities,42,48,R,A,0.0,0.0,3.0,0.0,0.0
2163,White,F,Seattle Public Utilities,31,40,T,A,0.0,1.0,3.0,1.0,0.0
2164,White,F,Seattle Public Utilities,38,50,R,A,0.0,1.0,3.0,0.0,0.0
2165,White,M,Parks & Recreation,68,18,T,A,0.0,0.0,0.0,1.0,0.0
2166,White,F,Construction & Inspections,32,35,R,A,0.0,1.0,11.0,0.0,0.0
2167,White,F,Seattle Dept of Transportation,53,61,R,A,0.0,1.0,4.0,0.0,0.0
2168,White,M,Parks & Recreation,17,21,T,A,0.0,0.0,0.0,1.0,0.0
2169,White,F,Education & Early Learning,39,52,R,A,0.0,1.0,15.0,0.0,0.0
2170,White,M,Fire Department,45,36,R,A,0.0,0.0,5.0,0.0,0.0
2171,White,F,Seattle Dept of Transportation,26,49,T,A,0.0,1.0,4.0,1.0,0.0
2172,White,F,Parks & Recreation,20,18,T,A,0.0,1.0,0.0,1.0,0.0
2173,White,M,Information Technology,64,74,R,A,0.0,0.0,8.0,0.0,0.0
2174,White,M,Seattle Center,47,36,T,A,0.0,0.0,9.0,1.0,0.0
2175,White,F,Fire Department,51,55,R,A,0.0,1.0,5.0,0.0,0.0
2176,White,F,Parks & Recreation,55,61,R,A,0.0,1.0,0.0,0.0,0.0
2177,White,F,Fire Department,51,50,R,A,0.0,1.0,5.0,0.0,0.0
2178,White,M,Fire Department,47,55,R,A,0.0,0.0,5.0,0.0,0.0
2179,White,M,Human Services Department,53,50,R,A,0.0,0.0,7.0,0.0,0.0
2180,White,M,Police Department,52,58,R,A,0.0,0.0,2.0,0.0,0.0
2181,White,M,Seattle Public Utilities,50,49,R,A,0.0,0.0,3.0,0.0,0.0
2182,White,M,Parks & Recreation,40,32,R,A,0.0,0.0,0.0,0.0,0.0
2183,White,F,Police Department,45,36,R,A,0.0,1.0,2.0,0.0,0.0
2184,White,M,Fire Department,54,50,R,A,0.0,0.0,5.0,0.0,0.0
2185,White,M,Fire Department,51,55,R,A,0.0,0.0,5.0,0.0,0.0
2186,White,M,Parks & Recreation,55,22,T,A,0.0,0.0,0.0,1.0,0.0
2187,White,M,Police Department,53,63,R,A,0.0,0.0,2.0,0.0,0.0
2188,White,M,Police Department,30,54,R,A,0.0,0.0,2.0,0.0,0.0
2189,White,F,Information Technology,39,61,R,A,0.0,1.0,8.0,0.0,0.0
2190,White,M,Seattle Public Utilities,34,37,R,A,0.0,0.0,3.0,0.0,0.0
2191,White,M,Seattle Public Utilities,46,38,R,A,0.0,0.0,3.0,0.0,0.0
2192,White,M,Fire Department,54,63,R,A,0.0,0.0,5.0,0.0,0.0
2193,White,F,Human Services Department,42,38,R,A,0.0,1.0,7.0,0.0,0.0
2194,White,M,Seattle Public Utilities,52,55,R,A,0.0,0.0,3.0,0.0,0.0
2195,White,M,Parks & Recreation,22,19,T,A,0.0,0.0,0.0,1.0,0.0
2196,White,M,Municipal Court,45,29,R,A,0.0,0.0,12.0,0.0,0.0
2197,White,M,Parks & Recreation,20,18,T,A,0.0,0.0,0.0,1.0,0.0
2198,White,M,Fire Department,35,36,R,A,0.0,0.0,5.0,0.0,0.0
2199,White,F,Finance & Admin Services,46,60,T,A,0.0,1.0,10.0,1.0,0.0
2200,White,M,Seattle City Light,40,49,R,A,0.0,0.0,1.0,0.0,0.0
2201,White,M,Parks & Recreation,44,36,R,A,0.0,0.0,0.0,0.0,0.0
2202,White,M,Fire Department,36,36,T,A,0.0,0.0,5.0,1.0,0.0
2203,White,M,Information Technology,44,61,R,A,0.0,0.0,8.0,0.0,0.0
2204,White,F,Fire Department,31,41,R,A,0.0,1.0,5.0,0.0,0.0
2205,White,M,Office of Housing,60,65,R,A,0.0,0.0,19.0,0.0,0.0
2206,White,M,Police Department,41,60,R,A,0.0,0.0,2.0,0.0,0.0
2207,White,M,Seattle Dept of Transportation,54,35,R,A,0.0,0.0,4.0,0.0,0.0
2208,White,M,Parks & Recreation,58,57,R,A,0.0,0.0,0.0,0.0,0.0
2209,White,M,Seattle Public Utilities,58,38,R,A,0.0,0.0,3.0,0.0,0.0
2210,White,M,Fire Department,64,57,R,A,0.0,0.0,5.0,0.0,0.0
2211,White,F,Seattle City Light,37,61,R,A,0.0,1.0,1.0,0.0,0.0
2212,White,F,Seattle Public Library,52,55,R,A,0.0,1.0,6.0,0.0,0.0
2213,White,M,Police Department,25,44,R,A,0.0,0.0,2.0,0.0,0.0
2214,White,F,Office of Labor Standards,35,45,R,A,0.0,1.0,28.0,0.0,0.0
2215,White,F,Seattle Public Utilities,53,59,R,A,0.0,1.0,3.0,0.0,0.0
2216,White,F,Seattle City Light,61,31,R,P,0.0,1.0,1.0,0.0,2.0
2217,White,M,Fire Department,46,62,R,A,0.0,0.0,5.0,0.0,0.0
2218,White,F,Seattle Center,57,18,T,A,0.0,1.0,9.0,1.0,0.0
2219,White,M,Police Department,47,61,R,A,0.0,0.0,2.0,0.0,0.0
2220,White,F,Parks & Recreation,49,37,R,A,0.0,1.0,0.0,0.0,0.0
2221,White,F,Seattle Public Library,59,57,R,A,0.0,1.0,6.0,0.0,0.0
2222,White,F,Seattle Public Library,29,22,R,A,0.0,1.0,6.0,0.0,0.0
2223,White,F,Parks & Recreation,48,18,T,A,0.0,1.0,0.0,1.0,0.0
2224,White,M,Fire Department,49,50,R,A,0.0,0.0,5.0,0.0,0.0
2225,White,M,Police Department,56,60,R,A,0.0,0.0,2.0,0.0,0.0
2226,White,F,Information Technology,55,68,R,A,0.0,1.0,8.0,0.0,0.0
2227,White,M,Fire Department,44,92,R,A,0.0,0.0,5.0,0.0,0.0
2228,White,F,Seattle Public Utilities,44,58,R,A,0.0,1.0,3.0,0.0,0.0
2229,White,M,Parks & Recreation,36,42,R,A,0.0,0.0,0.0,0.0,0.0
2230,White,F,Police Department,64,31,R,A,0.0,1.0,2.0,0.0,0.0
2231,White,M,Seattle Dept of Transportation,43,38,R,A,0.0,0.0,4.0,0.0,0.0
2232,White,M,Seattle Center,56,18,T,A,0.0,0.0,9.0,1.0,0.0
2233,White,M,Law Department,62,75,R,L,0.0,0.0,13.0,0.0,1.0
2234,White,F,Police Department,50,58,R,A,0.0,1.0,2.0,0.0,0.0
2235,White,F,Seattle Center,69,18,T,A,0.0,1.0,9.0,1.0,0.0
2236,White,M,Fire Department,43,49,R,A,0.0,0.0,5.0,0.0,0.0
2237,White,F,Seattle Dept of Transportation,60,34,R,A,0.0,1.0,4.0,0.0,0.0
2238,White,M,Seattle Public Utilities,62,68,R,A,0.0,0.0,3.0,0.0,0.0
2239,White,M,Seattle City Light,54,74,R,A,0.0,0.0,1.0,0.0,0.0
2240,White,M,Fire Department,55,49,R,A,0.0,0.0,5.0,0.0,0.0
