Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
White,M,Police Department,48,56.39,R,A
White,F,Police Department,36,53.5,R,A
White,F,Finance & Admin Services,40,33.81,R,A
White,M,Information Technology,33,63.576,R,A
White,F,Parks & Recreation,23,18.56,T,A
White,M,Seattle Public Utilities,54,46.58,R,A
White,M,Seattle Public Utilities,48,43.27,R,A
White,M,Fire Department,27,36.9,R,A
White,M,Seattle Center,59,36.05,T,A
White,M,Seattle Public Utilities,54,60.59,R,A
White,M,Seattle Center,80,22.01,R,A
White,M,Planning & Comm Development,62,65.599,R,A
White,F,Seattle Public Utilities,47,69.81,R,A
White,M,Parks & Recreation,30,30.09,R,A
White,F,Seattle Public Library,40,46.07,R,A
White,M,Seattle City Light,51,40.31,R,A
White,M,Fire Department,38,36.9,R,A
White,M,Fire Department,28,46.48,R,A
White,M,Police Department,38,53.5,R,A
White,M,Construction & Inspections,60,54.24,R,A
White,F,Seattle City Light,66,51.38,R,A
White,M,Parks & Recreation,51,49.49,R,A
White,F,Parks & Recreation,60,46.68,R,A
White,M,Seattle Public Utilities,47,47.34,R,A
White,M,Seattle Public Utilities,33,67.49,R,A
White,M,Law Department,42,71.89,R,A
White,M,Seattle Public Utilities,36,51.94,R,A
White,M,Police Department,27,45.96,R,A
White,F,Police Department,38,43.34,R,A
White,F,Commnty Sfty and Comm Ctr Dept,52,31.35,R,A
White,F,Construction & Inspections,31,50.17,R,A
White,F,Seattle Dept of Transportation,49,59.55,R,A
White,M,Parks & Recreation,19,25.46,T,A
White,M,Seattle Public Library,40,38.42,R,A
White,M,Fire Department,65,66.65,R,A
White,M,Seattle Center,39,36.05,T,A
White,M,Seattle Center,41,36.05,T,A
White,M,Fire Department,25,43.15,R,A
White,F,Police Department,45,47.69,R,A
White,M,Seattle City Light,42,34.23,R,A
White,F,Seattle Public Library,36,28.5,R,A
White,M,Seattle City Light,36,61.86,R,A
White,F,Neighborhoods,43,46.68,R,A
White,F,Seattle Center,55,18.56,T,A
White,M,Seattle City Light,42,65.98,R,A
White,F,Seattle Public Library,43,46.07,R,A
White,F,Seattle Public Utilities,36,60,R,A
White,M,Fire Department,23,36.9,R,A
White,M,Police Department,28,47.69,R,A
White,F,Seattle Dept of Transportation,44,44.95,R,A
White,F,Seattle Public Utilities,55,32.48,R,A
White,M,Police Department,47,47.69,R,A
White,M,Seattle Public Utilities,57,49.024,R,A
White,M,Seattle Public Library,41,46.07,R,A
White,F,Information Technology,32,58.5,R,A
White,F,Police Department,30,34.14,R,A
White,F,Office of Housing,59,55.44,R,A
White,M,Information Technology,58,74.463,R,A
White,M,Seattle City Light,36,77.88,R,A
White,F,Seattle Center,63,53.2,R,A
White,N,Seattle Public Utilities,30,41.66,R,A
White,M,Commnty Sfty and Comm Ctr Dept,31,36.31,R,A
White,M,Seattle Dept of Transportation,32,53.2,R,A
White,M,Fire Department,38,43.15,R,A
White,M,Seattle Dept of Transportation,44,44.95,R,A
White,M,Information Technology,50,61.756,R,A
White,F,Seattle City Light,60,36.47,R,A
White,M,Fire Department,41,61.19,R,A
White,M,Police Department,32,55.34,R,A
White,F,Seattle Public Library,32,27.14,R,A
White,F,Fire Department,27,43.15,R,A
White,M,Human Services Department,46,55.44,R,A
White,F,Seattle Dept of Transportation,43,28,R,A
White,F,Information Technology,75,74.642,R,A
White,F,Police Department,62,69.772,R,A
White,F,Seattle City Light,41,71.8,R,A
White,M,Seattle Dept of Transportation,50,34.05,R,A
White,F,Information Technology,39,61.019,R,A
White,M,Fire Department,36,43.15,R,A
White,F,Police Department,50,40.86,R,A
White,M,Seattle Public Utilities,55,53.65,R,A
White,M,Seattle Center,62,25.58,T,A
White,M,Information Technology,45,62.303,R,A
White,F,Parks & Recreation,40,36.57,R,A
White,M,Fire Department,27,52.32,R,A
White,M,Seattle City Light,51,39.53,R,A
White,M,Information Technology,33,61.078,R,A
White,M,Fire Department,52,50.86,R,A
White,M,Finance & Admin Services,65,56.46,R,A
White,M,Seattle City Light,60,49.24,R,A
White,M,Police Department,48,57.7,R,A
White,M,Seattle Center,52,36.05,T,A
White,M,Seattle City Light,45,61.86,R,A
White,M,Seattle Dept of Transportation,47,71.8,R,A
White,M,Fire Department,47,48.36,R,A
White,M,Finance & Admin Services,49,44.79,R,A
White,M,Seattle City Light,61,65.17,R,A
White,F,Parks & Recreation,31,19.29,T,A
White,M,Police Department,40,57.44,R,A
White,F,Seattle Dept of Transportation,28,23.4,T,A
White,M,Parks & Recreation,18,19.51,T,A
White,F,Police Department,45,49.04,R,A
White,M,Fire Department,49,55.15,R,A
White,M,Fire Department,43,46.06,R,A
White,M,Seattle Public Utilities,45,55.44,R,A
White,F,Seattle Public Library,41,32.91,R,A
White,M,Seattle City Light,36,59.01,R,A
White,M,Fire Department,39,43.98,R,A
White,M,Seattle Public Library,44,34.82,R,A
White,F,Seattle City Light,40,72.363,R,A
White,F,Seattle City Light,56,67.7499,R,A
White,M,Seattle Public Library,37,49.07,R,A
White,F,Seattle Dept of Transportation,31,45.68,R,A
White,F,Seattle Public Utilities,28,52.41,R,A
White,F,Office of Housing,43,47.57,R,A
White,F,Seattle Public Library,65,42.65,R,A
White,M,Seattle Public Utilities,49,63.32,R,A
White,M,Law Department,61,92.93,T,A
White,F,Seattle Dept of Human Resource,66,41.17,R,A
White,M,Seattle Center,60,36.05,T,A
White,M,Seattle City Light,37,67.49,R,A
White,M,Fire Department,41,46.9,R,A
White,M,Municipal Court,38,65.293,R,A
White,M,Seattle Public Utilities,36,55.32,R,A
White,M,Parks & Recreation,21,19.51,T,A
White,F,Seattle Dept of Human Resource,44,58.72,R,A
White,M,Parks & Recreation,51,19.64,R,A
White,M,Police Department,31,55.34,R,A
White,M,Seattle Dept of Transportation,51,33.78,R,A
White,F,Fire Department,35,46.06,R,A
White,M,Planning & Comm Development,40,59.685,R,A
White,F,Commnty Sfty and Comm Ctr Dept,32,31.3,R,A
White,M,Fire Department,23,34.81,R,A
White,F,Seattle Public Utilities,56,40.12,R,A
White,F,Education & Early Learning,45,47.57,R,A
White,M,Seattle City Light,74,55.44,R,A
White,F,Seattle Dept of Transportation,46,51.32,R,A
White,M,Seattle City Light,58,54.6,R,A
White,F,Parks & Recreation,79,18.56,T,A
White,F,Seattle Public Utilities,44,51.39,R,A
White,M,Fire Department,40,51.07,R,A
White,M,Seattle Dept of Transportation,36,64.21,R,A
White,M,Fire Department,42,36.9,R,A
White,F,Human Services Department,30,55.44,R,A
White,F,Legislative Department,56,57.55,R,A
White,M,Parks & Recreation,32,20.75,T,A
White,M,Police Department,32,42.96,R,A
White,M,Construction & Inspections,66,55.73,R,A
White,F,Seattle City Light,30,40.37,R,A
White,M,Police Department,45,55.34,R,A
White,M,Seattle Public Library,40,66.04,R,A
White,M,Seattle City Light,45,54.6,R,A
White,M,Seattle Dept of Transportation,32,40.86,R,A
White,F,Human Services Department,38,30.73,T,A
White,F,Police Department,50,88.08,R,A
White,F,City Auditor,40,49.49,R,A
White,M,Information Technology,35,56,R,A
White,M,Seattle Public Utilities,48,53.2,R,A
White,M,Fire Department,51,75.75,R,A
White,M,Municipal Court,49,33.65,R,A
White,M,Information Technology,57,77.812,R,A
White,F,Education & Early Learning,58,34.52,R,A
White,M,Finance & Admin Services,39,56.715,R,A
White,M,Education & Early Learning,42,59.821,R,A
White,F,Parks & Recreation,18,21.05,T,A
White,M,Fire Department,25,34.81,R,A
White,F,Information Technology,30,62.072,R,A
White,M,Seattle Public Utilities,29,45.28,R,A
White,M,Police Department,37,42.73,R,A
White,M,Finance & Admin Services,36,53.41,R,A
White,F,Parks & Recreation,20,19.51,T,A
White,F,Municipal Court,65,38.95,R,A
White,M,Seattle Public Utilities,65,57.578,R,A
White,M,Seattle Center,91,18.56,T,A
White,M,Seattle Public Library,60,38.42,R,A
White,F,Parks & Recreation,27,20.75,T,A
White,M,Fire Department,37,43.15,R,A
White,F,Finance & Admin Services,40,44.79,R,A
White,F,Seattle Dept of Transportation,30,57.38,R,A
White,M,Police Department,32,53.5,R,A
White,F,Seattle Public Utilities,48,105.112,R,A
White,M,Police Department,27,50.03,R,A
White,M,Fire Department,56,59.62,R,A
White,M,Police Department,61,60.84,R,A
White,F,Seattle Public Utilities,59,72.75,R,A
White,M,Human Services Department,54,44.72,R,A
White,M,Seattle Center,46,36.05,T,A
White,F,Seattle Public Utilities,55,63.262,R,A
White,M,Fire Department,42,62.43,R,A
White,M,Seattle City Light,47,69.386,R,A
White,M,Seattle Dept of Transportation,52,77.05,R,A
White,M,Police Department,50,84.01,R,A
White,M,Fire Department,33,41.07,R,A
White,M,Parks & Recreation,62,55.33,R,A
White,F,Law Department,53,43.34,R,A
White,M,Seattle Dept of Transportation,52,35.4,R,A
White,M,Seattle City Light,52,69.6,R,A
White,M,Neighborhoods,34,43.34,R,A
White,M,Police Department,30,50.03,R,A
White,M,Seattle City Light,63,69.6,R,A
White,M,Parks & Recreation,57,55.44,R,A
White,M,Fire Department,35,36.9,R,A
White,M,Police Department,38,55.34,R,A
White,M,Police Department,39,55.6,R,A
White,F,Off of Emergency Mngmnt Dept,62,61.298,T,A
White,F,Human Services Department,30,39.28,R,A
White,M,Police Department,45,69.71,R,A
White,F,Office of Economic Development,46,70.943,R,A
White,M,Seattle Center,70,18.56,T,A
White,F,Seattle Public Utilities,48,33.78,R,A
White,M,Seattle Center,55,36.05,T,A
White,F,Seattle City Light,47,61.1728,R,A
White,F,Planning & Comm Development,39,57.031,R,A
White,M,Fire Department,37,46.48,R,A
White,M,Seattle City Light,37,63.32,R,A
White,M,Seattle Public Utilities,58,37.29,R,A
White,F,Finance & Admin Services,45,39.04,R,A
White,M,Parks & Recreation,17,19.51,T,A
White,F,Seattle City Light,31,22.29,R,A
White,M,Seattle Public Utilities,32,49.61,R,A
White,F,Seattle Dept of Transportation,38,58.36,R,A
White,M,Police Department,24,45.96,R,A
White,F,Seattle Public Utilities,38,54.4,R,A
White,F,Police Department,48,31.35,R,A
White,M,Seattle City Light,28,43.12,T,A
White,M,Construction & Inspections,60,78.122,R,A
White,F,Parks & Recreation,49,71.671,R,A
White,M,Police Department,38,58.22,R,A
White,M,Police Department,39,58.22,R,A
White,F,Legislative Department,33,43.888,R,A
White,M,Fire Department,29,38.98,R,A
White,M,Seattle City Light,39,59.7999,R,A
White,M,Parks & Recreation,29,48.887,R,A
White,M,Seattle City Light,58,61.86,R,A
White,M,Municipal Court,64,57.49,T,A
White,F,Construction & Inspections,49,70.22,R,A
White,F,Police Department,42,56.39,R,A
White,F,Parks & Recreation,32,41.83,R,A
White,M,Seattle Center,34,36.05,T,A
White,M,Fire Department,35,46.06,R,A
White,M,Seattle City Light,40,54.0997,R,A
White,M,Seattle City Light,36,61.86,R,A
White,F,Information Technology,42,63.5,R,A
White,M,Fire Department,37,46.48,R,A
White,M,Parks & Recreation,37,55.44,R,A
White,M,Construction & Inspections,36,18.61,R,A
White,F,Parks & Recreation,54,19.51,T,A
White,M,Fire Department,27,43.15,R,A
White,F,Fire Department,55,101.74,R,A
White,M,Municipal Court,51,50.63,R,A
White,F,Seattle Public Utilities,58,33.78,R,A
White,F,Ethics & Elections Commission,43,58.7,R,A
White,M,Fire Department,48,63.33,R,A
White,M,Office of Economic Development,58,76,T,A
White,M,Seattle City Light,44,45.17,R,A
White,F,Seattle Center,43,33.56,R,A
White,M,Police Department,55,68.79,R,A
White,F,Neighborhoods,60,41.66,R,A
White,M,Fire Department,51,54.19,R,A
White,F,Commnty Sfty and Comm Ctr Dept,55,55.23,R,A
White,F,Fire Department,52,50.86,R,A
White,M,Seattle Center,59,36.05,T,A
White,M,Seattle Public Utilities,33,35.13,R,A
White,M,Seattle City Light,33,45.17,R,A
White,F,Information Technology,59,63.419,R,A
White,M,Police Department,40,54.29,R,A
White,F,Human Services Department,64,39.28,R,A
White,M,Parks & Recreation,67,48.03,R,A
White,M,Fire Department,60,55.03,R,A
White,M,Police Department,63,61.63,R,A
White,F,Information Technology,46,87.185,R,A
White,M,Seattle Public Utilities,56,58.534,R,A
White,M,Law Department,46,71.8,R,A
White,F,Human Services Department,66,33.78,R,A
White,F,Seattle City Light,51,31.35,R,A
White,M,Fire Department,56,52.53,R,A
White,M,Construction & Inspections,53,56.25,R,A
White,F,Construction & Inspections,41,40.08,R,A
White,M,Police Department,37,40.86,R,A
White,M,Seattle Public Utilities,58,85.504,R,A
White,M,Parks & Recreation,37,17.27,T,A
White,M,Seattle Dept of Transportation,34,62.45,R,A
White,M,Parks & Recreation,37,32.85,R,A
White,M,Fire Department,42,55.24,R,A
White,M,Seattle City Light,29,61.86,R,A
White,F,Law Department,30,37.1,R,A
White,F,Information Technology,34,60.999,R,A
White,M,Seattle City Light,32,55.29,R,A
White,F,Seattle Public Utilities,37,38.57,R,A
White,M,Seattle Dept of Transportation,25,23.4,T,A
White,M,Finance & Admin Services,66,65.796,R,A
White,N,Seattle Public Library,32,39.89,R,L
White,M,Seattle Dept of Transportation,24,23.4,T,A
White,M,Seattle Public Library,40,68.56,R,A
White,F,Police Department,44,28,R,A
White,M,Seattle Public Utilities,41,35.86,R,A
White,M,Seattle City Light,57,45.96,R,A
White,F,Construction & Inspections,54,77.843,R,A
White,M,Parks & Recreation,54,53.41,R,A
White,M,Finance & Admin Services,61,69.393,R,A
White,M,Parks & Recreation,45,34.58,R,A
White,M,Construction & Inspections,52,44.05,R,A
White,M,Seattle Center,59,36.05,T,A
White,M,Fire Department,47,54.11,R,A
White,M,Police Department,30,54.29,R,A
White,F,Parks & Recreation,35,32.85,R,A
White,F,Seattle Center,77,18.56,T,A
White,F,Law Department,37,41.13,T,A
White,F,Seattle Dept of Transportation,25,45.81,R,A
White,M,Human Services Department,40,49.24,R,A
White,M,Off of Emergency Mngmnt Dept,57,51.366,R,A
White,F,Finance & Admin Services,48,85.009,R,A
White,M,Police Department,59,31.35,R,A
White,F,Seattle Public Utilities,61,63.09,R,A
White,M,Seattle Center,64,39.7,T,A
White,M,Police Department,49,61.63,R,A
White,F,Seattle Dept of Transportation,32,60.16,R,A
White,M,Information Technology,58,64.654,R,A
White,F,Seattle Public Library,44,24.67,R,A
White,F,Seattle Public Utilities,43,51.32,R,A
White,M,Police Department,40,26.05,R,A
White,F,Information Technology,49,44.95,R,A
White,M,Office of Housing,31,40.08,R,A
White,F,Seattle Public Utilities,45,48.485,R,A
White,F,Seattle Dept of Transportation,56,67.49,R,A
White,F,Seattle Dept of Human Resource,65,66.221,R,A
White,M,Construction & Inspections,63,66.617,R,A
White,F,Seattle City Light,51,61.473,R,A
White,M,Parks & Recreation,19,19.51,T,A
White,F,Seattle Dept of Transportation,39,77.05,R,A
White,M,Parks & Recreation,19,19.51,T,A
White,F,Education & Early Learning,48,55.27,R,A
White,M,Seattle Center,70,22.01,R,A
White,F,Parks & Recreation,55,46.68,R,A
White,F,Human Services Department,48,33.78,T,A
White,M,Seattle City Light,37,44.95,R,A
White,M,Seattle Public Utilities,47,57.103,R,A
White,M,Seattle Public Utilities,53,40.03,R,A
White,M,Information Technology,55,64.641,R,A
White,F,Police Department,51,59.8,R,A
White,M,Construction & Inspections,67,55.39,R,A
White,M,Fire Department,39,43.15,R,A
White,M,Parks & Recreation,21,19.51,T,A
White,M,Fire Department,63,56.82,R,A
White,M,Seattle City Light,34,54.6,R,A
White,M,Finance & Admin Services,30,37.1,R,A
White,F,Human Services Department,69,38.57,R,A
White,M,Seattle Public Utilities,57,41.61,R,A
White,M,Parks & Recreation,66,30.09,R,A
White,M,Information Technology,64,65.408,R,A
White,F,Finance & Admin Services,66,61.297,R,A
White,F,Seattle Dept of Transportation,69,61,R,A
White,M,Mayor's Office,43,83.813,R,A
White,F,Municipal Court,49,31.35,R,A
White,M,Fire Department,22,34.81,R,A
White,F,Parks & Recreation,67,19.64,T,A
White,M,Seattle Center,77,18.56,T,A
White,F,Seattle City Light,64,47,R,A
White,M,Finance & Admin Services,66,73.894,R,A
White,M,Parks & Recreation,23,22.96,T,A
White,F,Law Department,55,51.921,R,A
White,M,Parks & Recreation,48,23.62,T,A
White,F,Law Department,39,43.34,R,A
White,F,Seattle City Light,42,40.37,R,A
White,M,Construction & Inspections,57,49.24,R,A
White,F,Seattle Dept of Transportation,38,59.55,R,A
White,F,Seattle Public Utilities,45,41.61,R,A
White,M,Seattle Center,63,18.56,T,A
White,F,Human Services Department,49,50.43,R,A
White,M,Employees' Retirement System,40,130.019,R,A
White,M,Fire Department,55,61.39,R,A
White,M,Seattle Public Utilities,58,49.61,R,A
White,M,Police Department,52,70.435,R,A
White,F,Seattle Public Library,27,24.67,R,A
White,F,Parks & Recreation,27,18.56,T,A
White,M,Parks & Recreation,37,50.43,R,A
White,M,Construction & Inspections,60,52.41,R,A
White,M,Construction & Inspections,68,71.08,R,A
White,F,Seattle Public Utilities,34,47.57,T,A
White,M,Seattle Center,54,18.61,R,A
White,M,Parks & Recreation,27,24.61,R,A
White,M,Fire Department,55,50.86,R,A
White,F,Law Department,40,67.323,R,A
White,M,Seattle Dept of Transportation,54,40.86,R,A
White,M,Police Department,36,31.36,R,A
White,M,Seattle Dept of Transportation,59,34.05,R,A
White,F,Office for Civil Rights,49,56.5,R,A
White,M,Fire Department,46,43.98,R,A
White,M,Seattle Center,65,36.05,T,A
White,M,Parks & Recreation,16,19.51,T,A
White,F,Legislative Department,25,43.1035,R,A
White,M,Police Department,42,66.09,R,A
White,M,Office for Civil Rights,45,45,R,A
White,M,Seattle Public Utilities,27,28.18,T,A
White,M,Seattle City Light,51,76.5245,R,A
White,F,Seattle Public Utilities,33,49.49,R,A
White,M,Parks & Recreation,46,60.78,R,A
White,M,Seattle Public Utilities,58,57.87,R,A
White,M,Police Department,31,26.05,R,A
White,M,Fire Department,40,49.73,R,A
White,M,Seattle Dept of Transportation,52,35.4,R,A
White,M,Fire Department,25,34.81,R,A
White,M,Seattle City Light,38,61.86,R,A
White,M,Parks & Recreation,35,46.37,R,A
White,M,Seattle City Light,57,31.6,R,A
White,F,Law Department,34,65.001,R,A
White,M,Parks & Recreation,40,41.83,R,A
White,F,Seattle Public Utilities,72,55.33,R,A
White,M,Seattle Dept of Transportation,46,47,R,A
White,M,Seattle Public Utilities,45,41.61,R,A
White,F,Municipal Court,49,47.69,R,A
White,M,Parks & Recreation,45,25.58,T,A
White,F,Municipal Court,43,34.22,R,A
White,M,Parks & Recreation,54,58.722,R,A
White,M,Seattle Center,43,35.26,R,A
White,F,Human Services Department,44,38.57,R,A
White,M,Fire Department,36,58.27,R,A
White,M,Seattle City Light,51,61.86,R,A
White,M,Parks & Recreation,74,20.75,T,A
White,M,Police Department,51,112.43,R,A
White,M,Seattle Center,61,36.05,T,A
White,M,Seattle Center,57,36.05,T,A
White,M,Police Department,58,60.31,R,A
White,M,Neighborhoods,28,41.66,R,A
White,M,Police Department,61,60.58,R,P
White,F,Seattle Public Library,34,22.29,R,A
White,F,Commnty Sfty and Comm Ctr Dept,31,36.31,R,A
White,M,Seattle Center,51,36.05,T,A
White,M,Seattle Center,42,36.05,T,A
White,M,Parks & Recreation,30,29.11,R,A
White,M,Seattle Center,57,36.05,T,A
White,F,Seattle Center,45,41.66,R,A
White,M,Fire Department,57,51.7,R,A
White,M,Police Department,41,45.96,R,A
White,M,Police Department,33,54.29,R,A
White,F,Human Services Department,36,46.68,R,A
White,F,Seattle Public Utilities,47,46.68,R,A
White,M,Seattle City Light,57,64.3442,R,A
White,M,Parks & Recreation,18,19.51,T,A
White,F,Seattle Public Utilities,60,31.35,R,A
White,F,Police Department,43,29.03,R,A
White,M,Parks & Recreation,17,19.51,T,A
White,M,Parks & Recreation,53,30.09,R,A
White,M,Parks & Recreation,19,19.51,T,A
White,M,Police Department,44,53.5,R,A
White,F,Seattle Public Library,56,27.05,R,A
White,F,Seattle Center,48,46.68,R,A
White,F,Police Department,51,33.78,R,A
White,M,Information Technology,35,65.934,R,A
White,F,Seattle Dept of Transportation,36,72.77,R,A
White,F,Seattle Public Library,42,24.67,R,A
White,M,Seattle Dept of Transportation,30,38.83,R,A
White,F,Parks & Recreation,76,18.56,T,A
White,M,Information Technology,46,60,R,A
White,M,Construction & Inspections,55,52.41,R,A
White,F,Construction & Inspections,55,78.122,R,A
White,M,Seattle City Light,52,55.44,R,A
White,M,Seattle Dept of Transportation,39,61,R,A
White,F,Seattle Dept of Transportation,54,53.2,R,A
White,M,Police Department,26,50.03,R,A
White,M,Police Department,42,69.11,R,A
White,M,Fire Department,56,50.86,R,A
White,M,Seattle Public Utilities,52,67.49,R,A
White,F,Police Department,27,30.01,R,A
White,F,Legislative Department,54,55.0767,R,A
White,M,Seattle Center,38,48.59,R,A
White,F,Seattle Public Library,39,38.42,R,A
White,M,Police Department,47,18.61,R,A
White,M,Police Department,26,45.96,R,A
White,M,Seattle Dept of Transportation,32,66.35,R,A
White,F,Education & Early Learning,42,64,R,A
White,M,Finance & Admin Services,61,100.893,R,A
White,F,Parks & Recreation,25,20.75,T,A
White,M,Finance & Admin Services,38,49.24,R,A
White,M,Police Department,40,66.09,R,A
White,F,Seattle Dept of Transportation,45,90.62,R,A
White,M,Fire Department,57,58.07,R,A
White,F,Seattle Center,42,36.05,T,A
White,F,Parks & Recreation,56,39.28,R,A
White,M,Police Department,41,60.84,R,A
White,F,Seattle Dept of Transportation,30,41.66,R,A
White,F,Parks & Recreation,26,22.86,T,A
White,M,Finance & Admin Services,30,31.7,R,A
White,F,Seattle City Light,53,30.72,R,A
White,F,Seattle Dept of Transportation,44,44.7,R,A
White,M,Seattle Center,44,36.05,T,A
White,F,Seattle Dept of Transportation,41,72.75,R,A
White,M,Police Department,51,69.11,R,A
White,M,Fire Department,55,76.43,R,A
White,M,Fire Department,66,52.53,R,A
White,M,Seattle Public Utilities,54,67.49,R,A
White,M,Parks & Recreation,35,37.1,R,A
White,M,Police Department,50,61.89,R,A
White,F,Law Department,46,35.05,R,A
White,M,Seattle City Light,54,69.6,R,A
White,M,Seattle City Light,52,69.07,R,A
White,M,Seattle Public Utilities,63,38.83,R,A
White,F,Police Department,25,26.05,R,A
White,M,Seattle City Light,64,64.5704,R,A
White,M,Finance & Admin Services,29,41.38,R,A
White,M,Fire Department,49,51.7,R,A
White,M,Parks & Recreation,62,46.68,R,A
White,F,Parks & Recreation,42,31.35,R,A
White,M,Seattle Dept of Transportation,51,70.63,R,A
White,M,Fire Department,51,51.7,R,A
White,M,Information Technology,64,58.041,R,A
White,M,Seattle Public Utilities,56,62.749,R,A
White,M,Finance & Admin Services,55,55.44,R,A
White,M,Seattle City Light,60,69.6,R,A
White,F,Seattle Public Utilities,51,68.184,R,A
White,M,Seattle Dept of Transportation,52,66.348,R,A
White,M,Seattle City Light,71,43.77,R,A
White,F,Police Department,69,33.78,R,A
White,F,Seattle Public Library,45,46.07,R,A
White,M,Seattle Center,72,24.92,R,A
White,M,Seattle Dept of Human Resource,48,54.34,R,A
White,M,Fire Department,52,51.7,R,A
White,M,Construction & Inspections,49,46.68,R,A
White,M,Seattle Public Library,37,27.05,R,A
White,M,Police Department,40,66.09,R,A
White,F,Seattle Public Utilities,54,51.39,R,A
White,M,Seattle City Light,58,47.62,R,A
White,M,Construction & Inspections,62,55.39,R,A
White,M,Fire Department,48,50.86,R,A
White,M,Seattle City Light,42,69.6,R,A
White,M,Law Department,61,76.475,R,A
White,F,Seattle City Light,42,59.55,R,A
White,F,Seattle Dept of Transportation,50,72.77,R,A
White,M,Police Department,59,58.75,R,A
White,F,Seattle City Light,21,19.09,T,A
White,M,Seattle City Light,61,39.36,R,A
White,M,Finance & Admin Services,47,41.38,R,A
White,F,Seattle Dept of Transportation,31,23.4,T,A
White,F,Seattle Public Utilities,33,30.09,R,A
White,F,Seattle Dept of Human Resource,41,68.792,R,A
White,M,Seattle City Light,43,61.86,R,A
White,M,Seattle Center,65,29.03,T,A
White,F,Seattle City Light,20,19.09,T,A
White,M,Seattle Dept of Transportation,53,35.16,R,A
White,F,Parks & Recreation,37,41.66,R,A
White,F,Police Department,57,31.35,R,A
White,M,Parks & Recreation,52,20.75,T,A
White,M,Seattle City Light,64,54.6,R,A
White,F,Seattle Center,74,18.56,T,A
White,M,Police Department,41,40.58,R,A
White,M,Seattle Public Library,39,28.5,R,A
White,M,Fire Department,61,51.7,R,A
White,M,Fire Department,41,46.06,R,A
White,M,Municipal Court,57,45,R,A
White,M,Construction & Inspections,60,52.18,R,A
White,F,Seattle Public Utilities,48,83.0218,R,A
White,M,Police Department,54,62.41,R,L
White,F,Parks & Recreation,48,33.78,R,A
White,F,Office of Housing,58,64,T,A
White,M,Fire Department,56,52.53,R,A
White,M,Seattle Dept of Human Resource,44,63.985,R,A
White,M,Seattle Center,61,48.25,R,A
White,M,Human Services Department,48,53.2,R,A
White,F,Information Technology,63,62.073,R,A
White,M,Police Department,52,60.58,R,A
White,M,Seattle City Light,49,63.32,R,A
White,M,Seattle Public Utilities,55,61.51,R,A
White,M,Seattle City Light,63,81.866,R,A
White,M,Fire Department,45,46.06,R,A
White,F,Seattle Public Utilities,29,33.79,R,A
White,F,Seattle Dept of Transportation,56,55.32,R,A
White,M,Parks & Recreation,54,35.05,R,A
White,M,Seattle City Light,58,71.8,R,A
White,M,Police Department,57,60.85,R,A
White,M,Seattle Public Utilities,31,43.34,R,A
White,M,Police Department,45,55.34,R,A
White,F,Neighborhoods,25,41.667,R,A
White,F,Fire Department,34,46.9,R,A
White,M,Parks & Recreation,41,46.68,R,A
White,M,Human Services Department,69,39.28,R,A
White,F,Legislative Department,48,43.06,R,A
White,M,Law Department,41,71.89,R,A
White,F,Human Services Department,45,37.84,R,A
White,F,Seattle Center,37,36.05,T,A
White,F,Seattle Dept of Human Resource,61,54.34,R,A
White,F,Finance & Admin Services,56,67.53,R,A
White,M,Municipal Court,43,78.585,R,A
White,M,Finance & Admin Services,49,113.027,R,A
White,M,Parks & Recreation,65,35.05,R,A
White,F,Seattle Dept of Transportation,27,23.4,T,A
White,M,Finance & Admin Services,34,44.79,R,A
White,F,Police Department,62,62.68,R,A
White,M,Parks & Recreation,34,31.63,R,A
White,M,Fire Department,41,46.06,R,A
White,M,Seattle City Light,29,42.44,R,A
White,M,Fire Department,30,43.98,R,A
White,F,Human Services Department,54,39.28,R,A
White,F,Construction & Inspections,41,66.617,R,A
White,M,Seattle City Light,34,49.77,R,A
White,M,Police Department,36,53.5,R,A
White,M,Finance & Admin Services,43,49.89,R,A
White,F,Human Services Department,46,36.47,T,A
White,F,Police Department,50,46.68,R,A
White,F,Office of Inspector General,48,48.18,R,A
White,F,Seattle Public Library,28,24.67,R,A
White,M,Seattle Public Utilities,56,72.75,R,A
White,F,Parks & Recreation,21,22.96,T,A
White,M,Police Department,35,55.34,R,A
White,M,Seattle Center,60,53.41,R,A
White,F,Construction & Inspections,46,61.192,R,A
White,F,Seattle Public Utilities,43,61,R,A
White,M,Police Department,39,40.08,R,A
White,F,Seattle Public Library,38,28.5,R,A
White,F,Municipal Court,40,52.215,R,A
White,N,Human Services Department,19,17.27,T,A
White,M,Information Technology,44,56.46,R,A
White,M,Police Department,29,45.96,R,A
White,M,Parks & Recreation,34,27.19,R,A
White,F,Human Services Department,49,39.28,R,A
White,M,Neighborhoods,28,29.03,T,A
White,M,Construction & Inspections,43,78.122,R,A
White,F,Law Department,41,34.47,R,A
White,M,Police Department,47,61.36,R,A
White,M,Seattle Dept of Transportation,53,70.63,R,A
White,F,Human Services Department,54,42.57,R,A
White,M,Police Department,48,61.36,R,A
White,F,Law Department,38,88.2133,R,A
White,F,Seattle Center,68,18.56,T,A
White,M,Seattle City Light,39,61.86,R,A
White,F,Seattle Public Utilities,53,46.68,R,A
White,M,Fire Department,49,49.4,R,A
White,M,Seattle Center,48,18.56,T,A
